text,code,type,label,num-vars
get a list of keys of dictionary `things` sorted by the value of nested dictionary key 'weight',"sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)",<nested-dict>,14,1
list comprehension that produces integers between 11 and 19,[i for i in range(100) if i > 10 if i < 20],<int>,9,0
Get only digits from a string `strs`,""""""""""""".join([c for c in strs if c.isdigit()])",<str>,2,1
split a string `yas` based on tab '\t',"re.split('\\t+', yas.rstrip('\t'))",<str>,2,1
"remove trailing newline in string ""test string\n""",'test string\n'.rstrip(),<str>,2,0
remove trailing newline in string 'test string \n\n','test string \n\n'.rstrip('\n'),<str>,2,0
remove newline in string `s`,s.strip(),<str>,2,1
remove newline in string `s` on the right side,s.rstrip(),<str>,2,1
remove newline in string `s` on the left side,s.lstrip(),<str>,2,1
remove newline in string 'Mac EOL\r','Mac EOL\r'.rstrip('\r\n'),<str>,2,0
remove newline in string 'Windows EOL\r\n' on the right side,'Windows EOL\r\n'.rstrip('\r\n'),<str>,2,0
remove newline in string 'Unix EOL\n' on the right side,'Unix EOL\n'.rstrip('\r\n'),<str>,2,0
"remove newline in string ""Hello\n\n\n"" on the right side",'Hello\n\n\n'.rstrip('\n'),<str>,2,0
split string `text` into chunks of 16 characters each,"re.findall('.{,16}\\b', text)",<str>,2,1
Get a list comprehension in list of lists `X`,[[X[i][j] for j in range(len(X[i]))] for i in range(len(X))],<nested-list>,8,1
convert unicode string '\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb0' to byte string,'\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb0'.encode('latin-1'),<str>,2,0
convert integer `i` to string,str(i),<int>,9,1
convert integer `a` to string,a.__str__(),<int>,9,1
convert integer `a` to string,str(a),<int>,9,1
sort list of lists `L` by the second item in each list,L.sort(key=operator.itemgetter(1)),<nested-list>,8,1
Print variable `count` and variable `conv` with space string '    ' in between,(str(count) + '    ' + str(conv)),<any>,15,2
python sum of ascii values of all characters in a string `string`,"sum(map(ord, string))",<str>,2,1
apply itertools.product to elements of a list of lists `arrays`,list(itertools.product(*arrays)),<nested-list>,8,1
print number `value` as thousands separators,"'{:,}'.format(value)",<int>,9,1
get the value at index 1 for each tuple in the list of tuples `L`,[x[1] for x in L],<tuple-list>,19,1
"split unicode string ""раз два три"" into words",'\u0440\u0430\u0437 \u0434\u0432\u0430 \u0442\u0440\u0438'.split(),<str>,2,0
get a dictionary in list `dicts` which key 'ratio' is closer to a global value 1.77672955975,"min(dicts, key=lambda x: (abs(1.77672955975 - x['ratio']), -x['pixels']))",<dict-list>,1,1
Find all words containing letters between A and Z in string `formula`,"re.findall('\\b[A-Z]', formula)",<str>,2,1
"create a list `matrix` containing 5 lists, each of 5 items  all set to 0",matrix = [([0] * 5) for i in range(5)],<int-list>,20,0
Getting today's date in YYYY-MM-DD,datetime.datetime.today().strftime('%Y-%m-%d'),<datetime>,3,0
sort a dictionary `d` by length of its values and print as string,"(' '.join(sorted(d, key=lambda k: len(d[k]), reverse=True)))",<dict>,12,1
"convert tuple elements in list `[(1,2),(3,4),(5,6),]` into lists","map(list, zip(*[(1, 2), (3, 4), (5, 6)]))",<tuple-list>,19,0
convert list of tuples to multiple lists in Python,"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))",<tuple-list>,19,0
convert list of tuples to multiple lists in Python,"zip(*[(1, 2), (3, 4), (5, 6)])",<tuple-list>,19,0
"create a list of tuples which contains number 9 and the number before it, for each occurrence of 9 in the list 'myList'","[(x, y) for x, y in zip(myList, myList[1:]) if y == 9]",<int-list>,20,1
"Convert a list `['A:1', 'B:2', 'C:3', 'D:4']` to dictionary","dict(map(lambda s: s.split(':'), ['A:1', 'B:2', 'C:3', 'D:4']))",<list>,6,0
check if string `the_string` contains any upper or lower-case ASCII letters,"re.search('[a-zA-Z]', the_string)",<str>,2,1
remove all non-numeric characters from string `sdkjh987978asd098as0980a98sd `,"re.sub('[^0-9]', '', 'sdkjh987978asd098as0980a98sd')",<str>,2,0
get items from list `a` that don't appear in list `b`,[y for y in a if y not in b],<list>,6,2
Unzip a list of tuples `l` into a list of lists,zip(*l),<tuple-list>,19,1
"combine two lists `[1, 2, 3, 4]` and `['a', 'b', 'c', 'd']` into a dictionary","dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))",<int-list>,20,0
"combine two lists `[1, 2, 3, 4]` and `['a', 'b', 'c', 'd']` into a dictionary","dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))",<int-list>,20,0
replace carriage return in string `somestring` with empty string '',"somestring.replace('\\r', '')",<str>,2,1
"parse string ""Jun 1 2005  1:33PM"" into datetime by format ""%b %d %Y %I:%M%p""","datetime.strptime('Jun 1 2005  1:33PM', '%b %d %Y %I:%M%p')",<datetime-str>,18,0
remove dictionary from list `a` if the value associated with its key 'link' is in list `b`,a = [x for x in a if x['link'] not in b],<list>,6,2
create a list of integers between 2 values `11` and `17`,"list(range(11, 17))",<int>,9,0
Find the list in a list of lists `alkaline_earth_values` with the max value of the second element.,"max(alkaline_earth_values, key=lambda x: x[1])",<nested-list>,8,1
remove leading and trailing zeros in the string 'your_Strip',your_string.strip('0'),<str>,2,1
generate a list of all unique pairs of integers in `range(9)`,"list(permutations(list(range(9)), 2))",<int>,9,0
create a regular expression that matches the pattern '^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)' over multiple lines of text,"re.compile('^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)', re.MULTILINE)",<str>,2,0
"regular expression ""^(.+)\\n((?:\\n.+)+)"" matching a multiline block of text","re.compile('^(.+)\\n((?:\\n.+)+)', re.MULTILINE)",<str>,2,0
sort a multidimensional list `a` by second and third column,"a.sort(key=operator.itemgetter(2, 3))",<nested-list>,8,1
Add a tuple with value `another_choice` to a tuple `my_choices`,"final_choices = ((another_choice,) + my_choices)",<tuple>,17,2
Add a tuple with value `another_choice` to a tuple `my_choices`,"final_choices = ((another_choice,) + my_choices)",<tuple>,17,2
"split string 'a b.c' on space "" "" and dot character "".""","re.split('[ .]', 'a b.c')",<str>,2,0
generate random upper-case ascii string of 12 characters length,(''.join(choice(ascii_uppercase) for i in range(12))),<int>,9,0
merge the elements in a list `lst` sequentially,"[''.join(seq) for seq in zip(lst, lst[1:])]",<str-list>,7,1
Sort list `li` in descending order based on the second element of each list inside list`li`,"sorted(li, key=operator.itemgetter(1), reverse=True)",<nested-list>,8,1
"split string 'Words, words, words.' on punctuation","re.split('\\W+', 'Words, words, words.')",<str>,2,0
"Extract first two substrings in string `phrase` that end in `.`, `?` or `!`","re.match('(.*?[.?!](?:\\s+.*?[.?!]){0,1})', phrase).group(1)",<str>,2,1
split string `s` into strings of repeating elements,"([a for a, b in re.findall('((\\w)\\2*)', s)])",<str>,2,1
Create new string with unique characters from `s` seperated by ' ',(' '.join(OrderedDict.fromkeys(s))),<str>,2,1
create a set from string `s` to remove duplicate characters,(' '.join(set(s))),<str>,2,1
find the count of a word 'Hello' in a string `input_string`,input_string.count('Hello'),<str>,2,1
"reduce the first element of list of strings `data` to a string, separated by '.'",('.'.join([item[0] for item in data])),<str-list>,7,1
"convert a flat list into a list of tuples of every two items in the list, in order","(zip(my_list[0::2], my_list[1::2]))",<list>,6,1
group a list of ints into a list of tuples of each 2 elements,"my_new_list = zip(my_list[0::2], my_list[1::2])",<int-list>,20,1
Formate current date and time to a string using pattern '%Y-%m-%d %H:%M:%S',datetime.datetime.now().strftime('%Y-%m-%d %H:%M:%S'),<datetime>,3,0
retrieve arabic texts from string `my_string`,"(re.findall('[\\u0600-\\u06FF]+', my_string))",<str>,2,1
access value associated with key 'American' of key 'Apple' from dictionary `dict`,dict['Apple']['American'],<nested-dict>,14,1
insert a list `k` at the front of list `a`,"a.insert(0, k)",<list>,6,2
insert elements of list `k` into list `a` at position `n`,a = a[:n] + k + a[n:],<list>,6,2
remove elements in list `b` from list `a`,[x for x in a if x not in b],<list>,6,2
join elements of each tuple in list `a` into one string,[''.join(x) for x in a],<tuple-list>,19,1
join items of each tuple in list of tuples `a` into a list of strings,"list(map(''.join, a))",<tuple-list>,19,1
match blank lines in `s` with regular expressions,"re.split('\n\\s*\n', s)",<str>,2,1
"merge a list of integers `[1, 2, 3, 4, 5]` into a single integer","from functools import reduce\nreduce(lambda x, y: 10 * x + y, [1, 2, 3, 4, 5])",<int-list>,20,0
Convert float 24322.34 to comma-separated string,"""""""{0:,.2f}"""""".format(24322.34)",<float>,4,0
round 1123.456789 to be an integer,"(round(1123.456789, -1))",<float>,4,0
sort list `X` based on values from another list `Y`,"[x for y, x in sorted(zip(Y, X))]",<list>,6,2
sorting list 'X' based on values from another list 'Y',"[x for y, x in sorted(zip(Y, X))]",<list>,6,2
get equivalent week number from a date `2010/6/16` using  isocalendar,"datetime.date(2010, 6, 16).isocalendar()[1]",<datetime-str>,18,0
convert string `s` to lowercase,s.lower(),<str>,2,1
output first 100 characters in a string `my_string`,(my_string[0:100]),<str>,2,1
get set intersection between dictionaries `d1` and `d2`,"dict((x, set(y) & set(d1.get(x, ()))) for x, y in d2.items())",<dict>,12,2
"create a dictionary `{'spam': 5, 'ham': 6}` into another dictionary `d` field 'dict3'","d['dict3'] = {'spam': 5, 'ham': 6}",<nested-dict>,14,1
merge dictionaries form array `dicts` in a single expression,"dict((k, v) for d in dicts for k, v in list(d.items()))",<dict-list>,1,1
"counting the number of true booleans in a python list `[True, True, False, False, False, True]`","sum([True, True, False, False, False, True])",<bool-list>,10,0
format string with dict `{'5': 'you'}` with integer keys,'hello there %(5)s' % {'5': 'you'},<int-dict>,11,0
"Convert a string of numbers `example_string` separated by `,` into a list of integers","map(int, example_string.split(','))",<int-str>,0,1
Convert a string of numbers 'example_string' separated by comma into a list of numbers,"[int(s) for s in example_string.split(',')]",<int-str>,0,1
Flatten list `x`,x = [i[0] for i in x],<tuple-list>,19,1
convert list `x` into a flat list,"y = map(operator.itemgetter(0), x)",<tuple-list>,19,1
get a list `y` of the first element of every tuple in list `x`,y = [i[0] for i in x],<tuple-list>,19,1
extract all the values of a specific key named 'values' from a list of dictionaries,results = [item['value'] for item in test_data],<dict-list>,1,1
get current datetime in ISO format,datetime.datetime.now().isoformat(),<datetime>,3,0
get UTC datetime in ISO format,datetime.datetime.utcnow().isoformat(),<datetime>,3,0
get the indices of tuples in list of tuples `L` where the first value is 53,"[i for i, v in enumerate(L) if v[0] == 53]",<tuple-list>,19,1
convert string of bytes `y\xcc\xa6\xbb` into an int,"struct.unpack('<L', 'y\xcc\xa6\xbb')[0]",<int-str>,0,0
create a list with permutations of string 'abcd',list(powerset('abcd')),<str>,2,0
Convert string to boolean from defined set of strings,"s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']",<str>,2,0
count the number of elements in array `myArray`,len(myArray),<list>,6,1
Match regex '[a-zA-Z][\\w-]*\\Z' on string 'A\n',"re.match('[a-zA-Z][\\w-]*\\Z', 'A\n')",<str>,2,0
match regex '[a-zA-Z][\\w-]*$' on string '!A_B',"re.match('[a-zA-Z][\\w-]*$', '!A_B')",<str>,2,0
"Convert hex string ""deadbeef"" to integer","int('deadbeef', 16)",<int-str>,0,0
"Convert hex string ""a"" to integer","int('a', 16)",<int-str>,0,0
"Convert hex string ""0xa"" to integer","int('0xa', 16)",<int-str>,0,0
Convert hex string `s` to integer,"int(s, 16)",<int-str>,0,1
Convert hex string `hexString` to int,"int(hexString, 16)",<int-str>,0,1
print variable `value ` without spaces,"('Value is ""' + str(value) + '""')",<any>,15,1
Print a string `value` with string formatting,"('Value is ""{},0""'.format(value))",<any>,15,1
Get only first element in each of the innermost of the multidimensional list `listD`,[[[x[0]] for x in listD[i]] for i in range(len(listD))],<nested-list>,8,1
Sort a string `s` in lexicographic order,"sorted(s, key=str.upper)",<str>,2,1
sort string `s` in lexicographic order,"sorted(sorted(s), key=str.upper)",<str>,2,1
"get a sorted list of the characters of string `s` in lexicographic order, with lowercase letters first","sorted(s, key=str.lower)",<str>,2,1
Reverse key-value pairs in a dictionary `map`,"dict((v, k) for k, v in map.items())",<dict>,12,1
convert list of strings `str_list` into list of integers,[int(i) for i in str_list],<str-list>,7,1
"convert a list with string `['1', '2', '3']` into list with integers","map(int, ['1', '2', '3'])",<str-list>,7,0
convert list with str into list with int,"list(map(int, ['1', '2', '3']))",<str-list>,7,0
"remove a substring "".com"" from the end of string `url`",if url.endswith('.com'):\n    url = url[:(-4)],<str>,2,1
"remove a substring "".com"" from the end of string `url`","url = re.sub('\\.com$', '', url)",<str>,2,1
"remove a substring "".com"" from the end of string `url`","(url.replace('.com', ''))",<str>,2,1
remove a substring `suffix` from the end of string `text`,if (not text.endswith(suffix)):\n    return text\nreturn text[:(len(text) - len(suffix))],<str>,2,1
print each first value from a list of tuples `mytuple` with string formatting,"(', ,'.join([str(i[0]) for i in mytuple]))",<tuple-list>,19,1
clamping floating number `my_value` to be between `min_value` and `max_value`,"max(min(my_value, max_value), min_value)",<float>,4,3
split a unicode string `text` into a list of words and punctuation characters with a regex,"re.findall('\\w+|[^\\w\\s]', text, re.UNICODE)",<str>,2,1
get digits in string `my_string`,""""""""""""".join(c for c in my_string if c.isdigit())",<str>,2,1
split string `str1` on one or more spaces with a regular expression,"re.split(' +', str1)",<str>,2,1
python split string based on regular expression,"re.findall('\\S+', str1)",<str>,2,1
convert generator object to a dictionary,{i: (i * 2) for i in range(10)},<list>,6,0
convert generator object to a dictionary,"dict((i, i * 2) for i in range(10))",<list>,6,0
split string `s` into float values and write sum to `total`,"total = sum(float(item) for item in s.split(','))",<str>,2,1
Convert ascii value 'P' to binary,bin(ord('P')),<int>,9,0
"print a string after a specific substring ', ' in string `my_string `","(my_string.split(', ', 1)[1])",<str>,2,1
remove colon character surrounded by vowels letters in string `word`,"word = re.sub('([aeiou]):(([aeiou][^aeiou]*){3})$', '\\1\\2', word)",<str>,2,1
pars a string 'http://example.org/#comments' to extract hashtags into an array,"re.findall('#(\\w+)', 'http://example.org/#comments')",<str>,2,0
do a boolean check if a string `lestring` contains any of the items in list `lelist`,any(e in lestring for e in lelist),<str-list>,7,2
get the number of all keys in the nested dictionary `dict_test`,len(dict_test) + sum(len(v) for v in dict_test.values()),<nested-dict>,14,1
return the conversion of decimal `d` to hex without the '0x' prefix,hex(d).split('x')[1],<int>,9,1
create a list containing digits of number 123 as its elements,list(str(123)),<int>,9,0
converting integer `num` to list,[int(x) for x in str(num)],<int>,9,1
reverse correlating bits of integer `n`,"int('{:08b}'.format(n)[::-1], 2)",<int>,9,1
get keys and items of dictionary `d`,list(d.items()),<dict>,12,1
get keys and items of dictionary `d` as a list,list(d.items()),<dict>,12,1
get max key in dictionary `MyCount`,"max(list(MyCount.keys()), key=int)",<int-dict>,11,1
sort list `a` in ascending order based on the addition of the second and third elements of each tuple in it,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]))",<tuple-list>,19,1
sort a list of tuples `a` by the sum of second and third element of each tuple,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]), reverse=True)",<tuple-list>,19,1
"sorting a list of tuples `lst` by the sum of the second elements onwards, and third element of the tuple","sorted(lst, key=lambda x: (sum(x[1:]), x[0]))",<tuple-list>,19,1
sort the list of tuples `lst` by the sum of every value except the first and by the first value in reverse order,"sorted(lst, key=lambda x: (sum(x[1:]), x[0]), reverse=True)",<tuple-list>,19,1
convert date string '24052010' to date object in format '%d%m%Y',"datetime.datetime.strptime('24052010', '%d%m%Y').date()",<datetime-str>,18,0
Replace non-ASCII characters in string `text` with a single space,"re.sub('[^\\x00-\\x7F]+', ' ', text)",<str>,2,1
Get a list `myList` from 1 to 10,myList = [i for i in range(10)],<int>,9,0
use regex pattern '((.+?)\\2+)' to split string '44442(2)2(2)44',[m[0] for m in re.compile('((.+?)\\2+)').findall('44442(2)2(2)44')],<str>,2,0
use regular expression '((\\d)(?:[()]*\\2*[()]*)*)' to split string `s`,"[i[0] for i in re.findall('((\\d)(?:[()]*\\2*[()]*)*)', s)]",<str>,2,1
Reverse list `x`,x[::-1],<list>,6,1
"Split a string `text` with comma, question mark or exclamation by non-consuming regex using look-behind","re.split('(?<=[\\.\\?!]) ', text)",<str>,2,1
create a regular expression object with the pattern '\xe2\x80\x93',re.compile('\xe2\x80\x93'),<str>,2,0
declare an array `variable`,variable = [],<any>,15,0
declare an array with element 'i',intarray = array('i'),<any>,15,0
"given list `to_reverse`, reverse the all sublists and the list itself",[sublist[::-1] for sublist in to_reverse[::-1]],<nested-list>,8,1
Replace all non-alphanumeric characters in a string,"re.sub('[^0-9a-zA-Z]+', '*', 'h^&ell`.,|o w]{+orld')",<str>,2,0
"unescape special characters without splitting data in array of strings `['I ', u'<', '3s U ', u'&', ' you luvz me']`",""""""""""""".join(['I ', '<', '3s U ', '&', ' you luvz me'])",<str-list>,7,0
split string `s` by '@' and get the first element,s.split('@')[0],<str>,2,1
generate a list containing values associated with the key 'value' of each dictionary inside list `list_of_dicts`,[x['value'] for x in list_of_dicts],<dict-list>,1,1
python getting a list of value from list of dict,[d['value'] for d in l],<dict-list>,1,1
python getting a list of value from list of dict,[d['value'] for d in l if 'value' in d],<dict-list>,1,1
"converting string '(1,2,3,4)' to a tuple","ast.literal_eval('(1,2,3,4)')",<str>,2,0
keep a list `dataList` of lists sorted as it is created by second element,dataList.sort(key=lambda x: x[1]),<nested-list>,8,1
remove duplicated items from list of lists `testdata`,"list(map(list, set(map(lambda i: tuple(i), testdata))))",<nested-list>,8,1
uniqueness for list of lists `testdata`,[list(i) for i in set(tuple(i) for i in testdata)],<nested-list>,8,1
"Concat each values in a tuple `(34.2424, -64.2344, 76.3534, 45.2344)` to get a string",""""""""""""".join(str(i) for i in (34.2424, -64.2344, 76.3534, 45.2344))",<tuple>,17,0
swap each pair of characters in string `s`,""""""""""""".join([s[x:x + 2][::-1] for x in range(0, len(s), 2)])",<str>,2,1
delete items from list `my_list` if the item exist in list `to_dell`,my_list = [[x for x in sublist if x not in to_del] for sublist in my_list],<list>,6,2
find all the elements that consists value '1' in a list of tuples 'a',[item for item in a if 1 in item],<tuple-list>,19,1
find all elements in a list of tuples `a` where the first element of each tuple equals 1,[item for item in a if item[0] == 1],<tuple-list>,19,1
how to uniqify a list of dict in python,[dict(y) for y in set(tuple(x.items()) for x in d)],<dict-list>,1,1
unpack the binary data represented by the hexadecimal string '4081637ef7d0424a' to a float,"struct.unpack('d', binascii.unhexlify('4081637ef7d0424a'))",<int-str>,0,0
"find all possible sequences of elements in a list `[2, 3, 4]`","map(list, permutations([2, 3, 4]))",<int-list>,20,0
sort a list `unsorted_list` based on another sorted list `presorted_list`,"sorted(unsorted_list, key=presorted_list.index)",<int-list>,20,2
How to get yesterday in python,datetime.datetime.now() - datetime.timedelta(days=1),<datetime>,3,0
find the index of sub string 'World' in `x`,x.find('World'),<str>,2,1
find the index of sub string 'Aloha' in `x`,x.find('Aloha'),<str>,2,1
find the index of sub string 'df' in string 'sdfasdf','sdfasdf'.index('df'),<str>,2,0
find the index of sub string 'a' in string `str`,str.find('a'),<str>,2,1
find the index of sub string 'g' in string `str`,str.find('g'),<str>,2,1
find the index of sub string 's' in string `str` starting from index 11,"str.find('s', 11)",<str>,2,1
find the index of sub string 's' in string `str` starting from index 15,"str.find('s', 15)",<str>,2,1
find the index of sub string 's' in string `str` starting from index 16,"str.find('s', 16)",<str>,2,1
find the index of sub string 's' in string `str` starting from index 11 and ending at index 14,"str.find('s', 11, 14)",<str>,2,1
sort list of date strings 'd',"sorted(d, key=lambda x: datetime.datetime.strptime(x, '%m-%Y'))",<str-list>,7,1
Get all the sentences from a string `text` using regex,"re.split('\\.\\s', text)",<str>,2,1
Regular expression in Python sentence extractor,"re.split('\\.\\s', re.sub('\\.\\s*$', '', text))",<str>,2,1
get all characters in string 'foobar' up to the fourth index,"""""""foobar""""""[:4]",<str>,2,0
cut a string by delimiter '&',s.rfind('&'),<str>,2,1
cut a string using delimiter '&',s[:s.rfind('&')],<str>,2,1
split string 'x+13.5*10x-4e1' into tokens,"([i for i in re.split('([\\d.]+|\\W+)', 'x+13.5*10x-4e1') if i])",<str>,2,0
Find all Chinese characters in string `ipath`,"re.findall('[\u4e00-\u9fff]+', ipath)",<str>,2,1
split string `s` by letter 's',s.split('s'),<str>,2,1
convert a list of dictionaries `listofdict into a dictionary of dictionaries,"dict((d['name'], d) for d in listofdict)",<dict-list>,1,1
print current date and time in a regular format,datetime.datetime.now().strftime('%Y-%m-%d %H:%M'),<datetime>,3,0
print current date and time in a regular format,time.strftime('%Y-%m-%d %H:%M'),<datetime>,3,0
find consecutive consonants in a word `CONCENTRATION` using regex,"re.findall('[bcdfghjklmnpqrstvwxyz]+', 'CONCERTATION', re.IGNORECASE)",<str>,2,0
get a list of indices of non zero elements in a list `a`,"[i for i, e in enumerate(a) if e != 0]",<int-list>,20,1
get multiple integer values from a string 'string1',"map(int, re.findall('\\d+', string1))",<str>,2,1
parse string '2015/01/01 12:12am' to DateTime object using format '%Y/%m/%d %I:%M%p',"datetime.strptime('2015/01/01 12:12am', '%Y/%m/%d %I:%M%p')",<datetime-str>,18,0
find maximum with lookahead = 4 in a list `arr`,"[max(abs(x) for x in arr[i:i + 4]) for i in range(0, len(arr), 4)]",<int-list>,20,1
get a list `no_integers` of all the items in list `mylist` that are not of type `int`,"no_integers = [x for x in mylist if not isinstance(x, int)]",<list>,6,1
"concatenate key/value pairs in dictionary `a` with string ', ' into a single string",""""""", """""".join([(str(k) + ' ' + str(v)) for k, v in list(a.items())])",<dict>,12,1
"Strip all non-ASCII characters from a unicode string, `\xa3\u20ac\xa3\u20ac`","(set(re.sub('[\x00-\x7f]', '', '\xa3\u20ac\xa3\u20ac')))",<str>,2,0
Get all non-ascii characters in a unicode string `\xa3100 is worth more than \u20ac100`,"(re.sub('[\x00-\x7f]', '', '\xa3100 is worth more than \u20ac100'))",<str>,2,0
"build a dict of key:value pairs from a string representation of a dict, `{'muffin' : 'lolz', 'foo' : 'kitty'}`","ast.literal_eval(""{'muffin' : 'lolz', 'foo' : 'kitty'}"")",<str>,2,0
Print string `t` with proper unicode representations,(t.decode('unicode_escape')),<int-str>,0,1
Normalize string `str` from 'cp1252' code to 'utf-8' code,(str.encode('cp1252').decode('utf-8').encode('cp1252').decode('utf-8')),<str>,2,1
merge lists `list_a` and `list_b` into a list of tuples,"zip(list_a, list_b)",<list>,6,2
merge lists `a` and `a` into a list of tuples,"list(zip(a, b))",<list>,6,2
remove parentheses and text within it in string `filename`,"re.sub('\\([^)]*\\)', '', filename)",<str>,2,1
Check if string 'a b' only contains letters and spaces,"""""""a b"""""".replace(' ', '').isalpha()",<str>,2,0
sum each element `x` in list `first` with element `y` at the same index in list `second`.,"[(x + y) for x, y in zip(first, second)]",<int-list>,20,2
sort a python dictionary `a_dict` by element `1` of the value,"sorted(list(a_dict.items()), key=lambda item: item[1][1])",<dict>,12,1
How to exclude a character from a regex group?,re.compile('[^a-zA-Z0-9-]+'),<str>,2,0
get index of the biggest 2 values of a list `a`,"sorted(list(range(len(a))), key=lambda i: a[i])[-2:]",<int-list>,20,1
get the indexes of the largest `2` values from a list of integers `a`,"sorted(list(range(len(a))), key=lambda i: a[i], reverse=True)[:2]",<int-list>,20,1
get index of key 'c' in dictionary `x`,list(x.keys()).index('c'),<dict>,12,1
Print +1 using format '{0:+d}',('{0:+d}'.format(score)),<int>,9,1
"remove adjacent duplicate elements from a list `[1, 2, 2, 3, 2, 2, 4]`","[k for k, g in itertools.groupby([1, 2, 2, 3, 2, 2, 4])]",<int-list>,20,0
"split string ""0,1,2"" based on delimiter ','","""""""0,1,2"""""".split(',')",<int-str>,0,0
"convert the string '0,1,2' to a list of integers","[int(x) for x in '0,1,2'.split(',')]",<int-str>,0,0
"convert list of key-value tuples `[('A', 1), ('B', 2), ('C', 3)]` into dictionary","dict([('A', 1), ('B', 2), ('C', 3)])",<tuple-list>,19,0
Get day name from a datetime object,date.today().strftime('%A'),<datetime>,3,0
Python regular expression match whole word,"re.search('\\bis\\b', your_string)",<str>,2,1
make a flat list from list of lists `sublist`,[item for sublist in l for item in sublist],<nested-list>,8,1
make a flat list from list of lists `list2d`,list(itertools.chain(*list2d)),<nested-list>,8,1
make a flat list from list of lists `list2d`,list(itertools.chain.from_iterable(list2d)),<nested-list>,8,1
convert ascii value 'a' to int,ord('a'),<str>,2,0
replace white spaces in string '  a\n b\n c\nd  e' with empty string '',"re.sub('(?m)^[^\\S\\n]+', '', '  a\n b\n c\nd  e')",<str>,2,0
remove white spaces from all the lines using a regular expression in string 'a\n b\n c',"re.sub('(?m)^\\s+', '', 'a\n b\n c')",<str>,2,0
"destruct elements of list `[1, 2, 3]` to variables `a`, `b` and `c`","a, b, c = [1, 2, 3]",<int-list>,20,0
split list `mylist` into a list of lists whose elements have the same first five characters,"[list(v) for k, v in itertools.groupby(mylist, key=lambda x: x[:5])]",<str-list>,7,1
remove all instances of parenthesesis containing text beginning with `as ` from string `line`,"line = re.sub('\\(+as .*?\\) ', '', line)",<str>,2,1
skip the newline while printing `line`,(line.rstrip('\n')),<str>,2,1
create a list containing the indices of elements greater than 4 in list `a`,"[i for i, v in enumerate(a) if v > 4]",<int-list>,20,1
reverse list `yourdata`,"sorted(yourdata, reverse=True)",<list>,6,1
sort list of nested dictionaries `yourdata` in reverse based on values associated with each dictionary's key 'subkey',"sorted(yourdata, key=lambda d: d.get('key', {},0).get('subkey'), reverse=True)",<dict-list>,1,1
sort list of nested dictionaries `yourdata` in reverse order of 'key' and 'subkey',"yourdata.sort(key=lambda e: e['key']['subkey'], reverse=True)",<dict-list>,1,1
get the tuple in list `a_list` that has the largest item in the second index,"max_item = max(a_list, key=operator.itemgetter(1))",<tuple-list>,19,1
find tuple in list of tuples `a_list` with the largest second element,"max(a_list, key=operator.itemgetter(1))",<tuple-list>,19,1
"extract elements at indices (1, 2, 5) from a list `a`","[a[i] for i in (1, 2, 5)]",<list>,6,1
convert a date string `s` to a datetime object,"datetime.datetime.strptime(s, '%Y-%m-%dT%H:%M:%SZ')",<datetime-str>,18,1
replace only first occurence of string `TEST` from a string `longlongTESTstringTEST`,"'longlongTESTstringTEST'.replace('TEST', '?', 1)",<str>,2,0
create a dictionary of pairs from a list of tuples `myListOfTuples`,dict(x[1:] for x in reversed(myListOfTuples)),<tuple-list>,19,1
subtract elements of list `List1` from elements of list `List2`,"[(x1 - x2) for x1, x2 in zip(List1, List2)]",<int-list>,20,2
check if string `string` starts with a number,string[0].isdigit(),<str>,2,1
"Check if string `strg` starts with any of the elements in list ('0', '1', '2', '3', '4', '5', '6', '7', '8', '9')","strg.startswith(('0', '1', '2', '3', '4', '5', '6', '7', '8', '9'))",<str>,2,1
"split string `text` by the occurrences of regex pattern '(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)'","re.split('(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)', text)",<str>,2,1
rearrange tuple of tuples `t`,tuple(zip(*t)),<tuple>,17,1
convert a list `L` of ascii values to a string,""""""""""""".join(chr(i) for i in L)",<int-list>,20,1
count the number of pairs in dictionary `d` whose value equal to `chosen_value`,sum(x == chosen_value for x in list(d.values())),<dict>,12,1
count the number of values in `d` dictionary that are predicate to function `some_condition`,sum(1 for x in list(d.values()) if some_condition(x)),<dict>,12,1
convert double 0.00582811585976 to float,"struct.unpack('f', struct.pack('f', 0.00582811585976))",<float>,4,0
convert datetime.date `dt` to utc timestamp,"timestamp = (dt - datetime(1970, 1, 1)).total_seconds()",<datetime>,3,1
print the truth value of variable `a`,(bool(a)),<any>,15,0
